question,answer
What crops are suitable for North Goa with Red Loamy soil (pH 7.5-8.5)?,"Suitable crops: Spices (Pepper), Tea. Irrigation needs: Moderate. Yield: 13366 kg/ha"
What crops are suitable for North Goa with Red Loamy soil (pH 7.5-8.5)?,"Suitable crops: Spices (Pepper), Tea. Irrigation needs: Moderate. Yield: 11150 kg/ha"
What crops are suitable for North Goa with Red Loamy soil (pH 7.5-8.5)?,"Suitable crops: Spices (Pepper), Tea. Irrigation needs: Moderate. Yield: 5331 kg/ha"
What crops are suitable for North Goa with Red Loamy soil (pH 7.5-8.5)?,"Suitable crops: Spices (Pepper), Tea. Irrigation needs: Moderate. Yield: 6710 kg/ha"
What crops are suitable for North Goa with Lateritic soil (pH 5.5-6.5)?,"Suitable crops: Coconut, Cashew, Mango. Irrigation needs: Moderate. Yield: 12800 kg/ha"
What crops are suitable for Coastal Goa with Saline soil (pH 7.5-8.5)?,"Suitable crops: Rice, Coconut, Fish Farming. Irrigation needs: Low. Yield: 10754 kg/ha"
What crops are suitable for Coastal Goa with Saline soil (pH 7.5-8.5)?,"Suitable crops: Rice, Coconut, Fish Farming. Irrigation needs: Low. Yield: 12659 kg/ha"
What crops are suitable for South Goa with Sandy soil (pH 6.0-7.0)?,"Suitable crops: Watermelon, Pineapple. Irrigation needs: Low. Yield: 12827 kg/ha"
What crops are suitable for Coastal Goa with Clayey soil (pH 7.5-8.5)?,"Suitable crops: Banana, Vegetables. Irrigation needs: Moderate. Yield: 6006 kg/ha"
What crops are suitable for Coastal Goa with Saline soil (pH 7.5-8.5)?,"Suitable crops: Rice, Coconut, Fish Farming. Irrigation needs: Low. Yield: 5694 kg/ha"
What crops are suitable for Hilly Goa with Red Loamy soil (pH 7.5-8.5)?,"Suitable crops: Spices (Pepper), Tea. Irrigation needs: Moderate. Yield: 9163 kg/ha"
What crops are suitable for South Goa with Alluvial soil (pH 7.5-8.5)?,"Suitable crops: Rice, Vegetables, Pulses. Irrigation needs: Moderate. Yield: 7581 kg/ha"
What crops are suitable for South Goa with Alluvial soil (pH 7.5-8.5)?,"Suitable crops: Rice, Vegetables, Pulses. Irrigation needs: Moderate. Yield: 13449 kg/ha"
What crops are suitable for North Goa with Red Loamy soil (pH 7.5-8.5)?,"Suitable crops: Spices (Pepper), Tea. Irrigation needs: Moderate. Yield: 10082 kg/ha"
What crops are suitable for North Goa with Red Loamy soil (pH 7.5-8.5)?,"Suitable crops: Spices (Pepper), Tea. Irrigation needs: Moderate. Yield: 12034 kg/ha"
What crops are suitable for South Goa with Sandy soil (pH 6.0-7.0)?,"Suitable crops: Watermelon, Pineapple. Irrigation needs: Low. Yield: 13381 kg/ha"
What crops are suitable for South Goa with Alluvial soil (pH 7.5-8.5)?,"Suitable crops: Rice, Vegetables, Pulses. Irrigation needs: Moderate. Yield: 11871 kg/ha"
What crops are suitable for Hilly Goa with Red Loamy soil (pH 7.5-8.5)?,"Suitable crops: Spices (Pepper), Tea. Irrigation needs: Moderate. Yield: 10972 kg/ha"
What crops are suitable for North Goa with Lateritic soil (pH 5.5-6.5)?,"Suitable crops: Coconut, Cashew, Mango. Irrigation needs: Moderate. Yield: 9865 kg/ha"
What crops are suitable for Coastal Goa with Clayey soil (pH 7.5-8.5)?,"Suitable crops: Banana, Vegetables. Irrigation needs: Moderate. Yield: 10744 kg/ha"
What crops are suitable for South Goa with Alluvial soil (pH 7.5-8.5)?,"Suitable crops: Rice, Vegetables, Pulses. Irrigation needs: Moderate. Yield: 12552 kg/ha"
What crops are suitable for Coastal Goa with Saline soil (pH 7.5-8.5)?,"Suitable crops: Rice, Coconut, Fish Farming. Irrigation needs: Low. Yield: 12739 kg/ha"
What crops are suitable for Hilly Goa with Lateritic soil (pH 5.5-6.5)?,"Suitable crops: Coconut, Cashew, Mango. Irrigation needs: Moderate. Yield: 5555 kg/ha"
What crops are suitable for South Goa with Alluvial soil (pH 7.5-8.5)?,"Suitable crops: Rice, Vegetables, Pulses. Irrigation needs: Moderate. Yield: 5981 kg/ha"
What crops are suitable for North Goa with Red Loamy soil (pH 7.5-8.5)?,"Suitable crops: Spices (Pepper), Tea. Irrigation needs: Moderate. Yield: 7813 kg/ha"
What crops are suitable for Coastal Goa with Saline soil (pH 7.5-8.5)?,"Suitable crops: Rice, Coconut, Fish Farming. Irrigation needs: Low. Yield: 6224 kg/ha"
What crops are suitable for Coastal Goa with Saline soil (pH 7.5-8.5)?,"Suitable crops: Rice, Coconut, Fish Farming. Irrigation needs: Low. Yield: 13239 kg/ha"
What crops are suitable for North Goa with Red Loamy soil (pH 7.5-8.5)?,"Suitable crops: Spices (Pepper), Tea. Irrigation needs: Moderate. Yield: 5011 kg/ha"
What crops are suitable for South Goa with Alluvial soil (pH 7.5-8.5)?,"Suitable crops: Rice, Vegetables, Pulses. Irrigation needs: Moderate. Yield: 14664 kg/ha"
What crops are suitable for South Goa with Sandy soil (pH 6.0-7.0)?,"Suitable crops: Watermelon, Pineapple. Irrigation needs: Low. Yield: 6817 kg/ha"
What crops are suitable for Hilly Goa with Red Loamy soil (pH 7.5-8.5)?,"Suitable crops: Spices (Pepper), Tea. Irrigation needs: Moderate. Yield: 6260 kg/ha"
What crops are suitable for Hilly Goa with Red Loamy soil (pH 7.5-8.5)?,"Suitable crops: Spices (Pepper), Tea. Irrigation needs: Moderate. Yield: 9486 kg/ha"
What crops are suitable for South Goa with Sandy soil (pH 6.0-7.0)?,"Suitable crops: Watermelon, Pineapple. Irrigation needs: Low. Yield: 10180 kg/ha"
What crops are suitable for North Goa with Lateritic soil (pH 5.5-6.5)?,"Suitable crops: Coconut, Cashew, Mango. Irrigation needs: Moderate. Yield: 8747 kg/ha"
What crops are suitable for Hilly Goa with Red Loamy soil (pH 7.5-8.5)?,"Suitable crops: Spices (Pepper), Tea. Irrigation needs: Moderate. Yield: 14744 kg/ha"
What crops are suitable for South Goa with Sandy soil (pH 6.0-7.0)?,"Suitable crops: Watermelon, Pineapple. Irrigation needs: Low. Yield: 5566 kg/ha"
What crops are suitable for Hilly Goa with Lateritic soil (pH 5.5-6.5)?,"Suitable crops: Coconut, Cashew, Mango. Irrigation needs: Moderate. Yield: 7721 kg/ha"
What crops are suitable for North Goa with Red Loamy soil (pH 7.5-8.5)?,"Suitable crops: Spices (Pepper), Tea. Irrigation needs: Moderate. Yield: 6914 kg/ha"
What crops are suitable for North Goa with Lateritic soil (pH 5.5-6.5)?,"Suitable crops: Coconut, Cashew, Mango. Irrigation needs: Moderate. Yield: 7548 kg/ha"
What crops are suitable for South Goa with Sandy soil (pH 6.0-7.0)?,"Suitable crops: Watermelon, Pineapple. Irrigation needs: Low. Yield: 10557 kg/ha"
What crops are suitable for Coastal Goa with Saline soil (pH 7.5-8.5)?,"Suitable crops: Rice, Coconut, Fish Farming. Irrigation needs: Low. Yield: 11708 kg/ha"
What crops are suitable for Coastal Goa with Clayey soil (pH 7.5-8.5)?,"Suitable crops: Banana, Vegetables. Irrigation needs: Moderate. Yield: 9417 kg/ha"
What crops are suitable for South Goa with Alluvial soil (pH 7.5-8.5)?,"Suitable crops: Rice, Vegetables, Pulses. Irrigation needs: Moderate. Yield: 10674 kg/ha"
What crops are suitable for Hilly Goa with Red Loamy soil (pH 7.5-8.5)?,"Suitable crops: Spices (Pepper), Tea. Irrigation needs: Moderate. Yield: 5653 kg/ha"
What crops are suitable for Hilly Goa with Lateritic soil (pH 5.5-6.5)?,"Suitable crops: Coconut, Cashew, Mango. Irrigation needs: Moderate. Yield: 10965 kg/ha"
What crops are suitable for Coastal Goa with Saline soil (pH 7.5-8.5)?,"Suitable crops: Rice, Coconut, Fish Farming. Irrigation needs: Low. Yield: 5506 kg/ha"
What crops are suitable for Hilly Goa with Lateritic soil (pH 5.5-6.5)?,"Suitable crops: Coconut, Cashew, Mango. Irrigation needs: Moderate. Yield: 5894 kg/ha"
What crops are suitable for South Goa with Sandy soil (pH 6.0-7.0)?,"Suitable crops: Watermelon, Pineapple. Irrigation needs: Low. Yield: 10043 kg/ha"
What crops are suitable for Hilly Goa with Lateritic soil (pH 5.5-6.5)?,"Suitable crops: Coconut, Cashew, Mango. Irrigation needs: Moderate. Yield: 8105 kg/ha"
What crops are suitable for Coastal Goa with Clayey soil (pH 7.5-8.5)?,"Suitable crops: Banana, Vegetables. Irrigation needs: Moderate. Yield: 12266 kg/ha"
What crops are suitable for South Goa with Sandy soil (pH 6.0-7.0)?,"Suitable crops: Watermelon, Pineapple. Irrigation needs: Low. Yield: 9625 kg/ha"
What crops are suitable for South Goa with Alluvial soil (pH 7.5-8.5)?,"Suitable crops: Rice, Vegetables, Pulses. Irrigation needs: Moderate. Yield: 5077 kg/ha"
What crops are suitable for South Goa with Alluvial soil (pH 7.5-8.5)?,"Suitable crops: Rice, Vegetables, Pulses. Irrigation needs: Moderate. Yield: 7442 kg/ha"
What crops are suitable for Hilly Goa with Red Loamy soil (pH 7.5-8.5)?,"Suitable crops: Spices (Pepper), Tea. Irrigation needs: Moderate. Yield: 8796 kg/ha"
What crops are suitable for North Goa with Red Loamy soil (pH 7.5-8.5)?,"Suitable crops: Spices (Pepper), Tea. Irrigation needs: Moderate. Yield: 6210 kg/ha"
What crops are suitable for South Goa with Sandy soil (pH 6.0-7.0)?,"Suitable crops: Watermelon, Pineapple. Irrigation needs: Low. Yield: 12838 kg/ha"
What crops are suitable for Hilly Goa with Red Loamy soil (pH 7.5-8.5)?,"Suitable crops: Spices (Pepper), Tea. Irrigation needs: Moderate. Yield: 5546 kg/ha"
What crops are suitable for Hilly Goa with Red Loamy soil (pH 7.5-8.5)?,"Suitable crops: Spices (Pepper), Tea. Irrigation needs: Moderate. Yield: 11462 kg/ha"
What crops are suitable for Hilly Goa with Red Loamy soil (pH 7.5-8.5)?,"Suitable crops: Spices (Pepper), Tea. Irrigation needs: Moderate. Yield: 10589 kg/ha"
What crops are suitable for Coastal Goa with Saline soil (pH 7.5-8.5)?,"Suitable crops: Rice, Coconut, Fish Farming. Irrigation needs: Low. Yield: 7531 kg/ha"
What crops are suitable for Hilly Goa with Lateritic soil (pH 5.5-6.5)?,"Suitable crops: Coconut, Cashew, Mango. Irrigation needs: Moderate. Yield: 14217 kg/ha"
What crops are suitable for South Goa with Sandy soil (pH 6.0-7.0)?,"Suitable crops: Watermelon, Pineapple. Irrigation needs: Low. Yield: 11945 kg/ha"
What crops are suitable for Hilly Goa with Lateritic soil (pH 5.5-6.5)?,"Suitable crops: Coconut, Cashew, Mango. Irrigation needs: Moderate. Yield: 11242 kg/ha"
What crops are suitable for Hilly Goa with Red Loamy soil (pH 7.5-8.5)?,"Suitable crops: Spices (Pepper), Tea. Irrigation needs: Moderate. Yield: 12628 kg/ha"
What crops are suitable for South Goa with Alluvial soil (pH 7.5-8.5)?,"Suitable crops: Rice, Vegetables, Pulses. Irrigation needs: Moderate. Yield: 10993 kg/ha"
What crops are suitable for Coastal Goa with Clayey soil (pH 7.5-8.5)?,"Suitable crops: Banana, Vegetables. Irrigation needs: Moderate. Yield: 9758 kg/ha"
What crops are suitable for Coastal Goa with Clayey soil (pH 7.5-8.5)?,"Suitable crops: Banana, Vegetables. Irrigation needs: Moderate. Yield: 11837 kg/ha"
What crops are suitable for Hilly Goa with Red Loamy soil (pH 7.5-8.5)?,"Suitable crops: Spices (Pepper), Tea. Irrigation needs: Moderate. Yield: 10135 kg/ha"
What crops are suitable for Hilly Goa with Lateritic soil (pH 5.5-6.5)?,"Suitable crops: Coconut, Cashew, Mango. Irrigation needs: Moderate. Yield: 10077 kg/ha"
What crops are suitable for North Goa with Red Loamy soil (pH 7.5-8.5)?,"Suitable crops: Spices (Pepper), Tea. Irrigation needs: Moderate. Yield: 11184 kg/ha"
What crops are suitable for North Goa with Red Loamy soil (pH 7.5-8.5)?,"Suitable crops: Spices (Pepper), Tea. Irrigation needs: Moderate. Yield: 12194 kg/ha"
What crops are suitable for South Goa with Alluvial soil (pH 7.5-8.5)?,"Suitable crops: Rice, Vegetables, Pulses. Irrigation needs: Moderate. Yield: 6954 kg/ha"
What crops are suitable for South Goa with Alluvial soil (pH 7.5-8.5)?,"Suitable crops: Rice, Vegetables, Pulses. Irrigation needs: Moderate. Yield: 5782 kg/ha"
What crops are suitable for South Goa with Alluvial soil (pH 7.5-8.5)?,"Suitable crops: Rice, Vegetables, Pulses. Irrigation needs: Moderate. Yield: 9065 kg/ha"
What crops are suitable for South Goa with Sandy soil (pH 6.0-7.0)?,"Suitable crops: Watermelon, Pineapple. Irrigation needs: Low. Yield: 8244 kg/ha"
What crops are suitable for North Goa with Lateritic soil (pH 5.5-6.5)?,"Suitable crops: Coconut, Cashew, Mango. Irrigation needs: Moderate. Yield: 11270 kg/ha"
What crops are suitable for Hilly Goa with Lateritic soil (pH 5.5-6.5)?,"Suitable crops: Coconut, Cashew, Mango. Irrigation needs: Moderate. Yield: 9737 kg/ha"
What crops are suitable for Hilly Goa with Lateritic soil (pH 5.5-6.5)?,"Suitable crops: Coconut, Cashew, Mango. Irrigation needs: Moderate. Yield: 9033 kg/ha"
What crops are suitable for South Goa with Sandy soil (pH 6.0-7.0)?,"Suitable crops: Watermelon, Pineapple. Irrigation needs: Low. Yield: 9068 kg/ha"
What crops are suitable for North Goa with Lateritic soil (pH 5.5-6.5)?,"Suitable crops: Coconut, Cashew, Mango. Irrigation needs: Moderate. Yield: 13092 kg/ha"
What crops are suitable for Coastal Goa with Clayey soil (pH 7.5-8.5)?,"Suitable crops: Banana, Vegetables. Irrigation needs: Moderate. Yield: 12133 kg/ha"
What crops are suitable for Hilly Goa with Red Loamy soil (pH 7.5-8.5)?,"Suitable crops: Spices (Pepper), Tea. Irrigation needs: Moderate. Yield: 9948 kg/ha"
What crops are suitable for North Goa with Lateritic soil (pH 5.5-6.5)?,"Suitable crops: Coconut, Cashew, Mango. Irrigation needs: Moderate. Yield: 11714 kg/ha"
What crops are suitable for Coastal Goa with Saline soil (pH 7.5-8.5)?,"Suitable crops: Rice, Coconut, Fish Farming. Irrigation needs: Low. Yield: 11082 kg/ha"
What crops are suitable for Hilly Goa with Red Loamy soil (pH 7.5-8.5)?,"Suitable crops: Spices (Pepper), Tea. Irrigation needs: Moderate. Yield: 12754 kg/ha"
What crops are suitable for Coastal Goa with Saline soil (pH 7.5-8.5)?,"Suitable crops: Rice, Coconut, Fish Farming. Irrigation needs: Low. Yield: 7132 kg/ha"
What crops are suitable for North Goa with Lateritic soil (pH 5.5-6.5)?,"Suitable crops: Coconut, Cashew, Mango. Irrigation needs: Moderate. Yield: 14228 kg/ha"
What crops are suitable for North Goa with Lateritic soil (pH 5.5-6.5)?,"Suitable crops: Coconut, Cashew, Mango. Irrigation needs: Moderate. Yield: 5867 kg/ha"
What crops are suitable for Coastal Goa with Saline soil (pH 7.5-8.5)?,"Suitable crops: Rice, Coconut, Fish Farming. Irrigation needs: Low. Yield: 10809 kg/ha"
What crops are suitable for Coastal Goa with Clayey soil (pH 7.5-8.5)?,"Suitable crops: Banana, Vegetables. Irrigation needs: Moderate. Yield: 9767 kg/ha"
What crops are suitable for South Goa with Alluvial soil (pH 7.5-8.5)?,"Suitable crops: Rice, Vegetables, Pulses. Irrigation needs: Moderate. Yield: 6379 kg/ha"
What crops are suitable for Coastal Goa with Clayey soil (pH 7.5-8.5)?,"Suitable crops: Banana, Vegetables. Irrigation needs: Moderate. Yield: 13674 kg/ha"
What crops are suitable for Hilly Goa with Lateritic soil (pH 5.5-6.5)?,"Suitable crops: Coconut, Cashew, Mango. Irrigation needs: Moderate. Yield: 6265 kg/ha"
What crops are suitable for Coastal Goa with Clayey soil (pH 7.5-8.5)?,"Suitable crops: Banana, Vegetables. Irrigation needs: Moderate. Yield: 14831 kg/ha"
What crops are suitable for South Goa with Sandy soil (pH 6.0-7.0)?,"Suitable crops: Watermelon, Pineapple. Irrigation needs: Low. Yield: 13893 kg/ha"
What crops are suitable for Hilly Goa with Lateritic soil (pH 5.5-6.5)?,"Suitable crops: Coconut, Cashew, Mango. Irrigation needs: Moderate. Yield: 9980 kg/ha"
What crops are suitable for South Goa with Sandy soil (pH 6.0-7.0)?,"Suitable crops: Watermelon, Pineapple. Irrigation needs: Low. Yield: 13384 kg/ha"
What crops are suitable for North Goa with Red Loamy soil (pH 7.5-8.5)?,"Suitable crops: Spices (Pepper), Tea. Irrigation needs: Moderate. Yield: 7380 kg/ha"
What crops are suitable for North Goa with Lateritic soil (pH 5.5-6.5)?,"Suitable crops: Coconut, Cashew, Mango. Irrigation needs: Moderate. Yield: 7621 kg/ha"
What crops are suitable for Hilly Goa with Red Loamy soil (pH 7.5-8.5)?,"Suitable crops: Spices (Pepper), Tea. Irrigation needs: Moderate. Yield: 7142 kg/ha"
What crops are suitable for Coastal Goa with Saline soil (pH 7.5-8.5)?,"Suitable crops: Rice, Coconut, Fish Farming. Irrigation needs: Low. Yield: 8621 kg/ha"
What crops are suitable for Coastal Goa with Saline soil (pH 7.5-8.5)?,"Suitable crops: Rice, Coconut, Fish Farming. Irrigation needs: Low. Yield: 11033 kg/ha"
What crops are suitable for Hilly Goa with Lateritic soil (pH 5.5-6.5)?,"Suitable crops: Coconut, Cashew, Mango. Irrigation needs: Moderate. Yield: 10329 kg/ha"
What crops are suitable for Hilly Goa with Lateritic soil (pH 5.5-6.5)?,"Suitable crops: Coconut, Cashew, Mango. Irrigation needs: Moderate. Yield: 6513 kg/ha"
What crops are suitable for Coastal Goa with Clayey soil (pH 7.5-8.5)?,"Suitable crops: Banana, Vegetables. Irrigation needs: Moderate. Yield: 7376 kg/ha"
What crops are suitable for Coastal Goa with Saline soil (pH 7.5-8.5)?,"Suitable crops: Rice, Coconut, Fish Farming. Irrigation needs: Low. Yield: 13997 kg/ha"
What crops are suitable for Hilly Goa with Red Loamy soil (pH 7.5-8.5)?,"Suitable crops: Spices (Pepper), Tea. Irrigation needs: Moderate. Yield: 6716 kg/ha"
What crops are suitable for Hilly Goa with Red Loamy soil (pH 7.5-8.5)?,"Suitable crops: Spices (Pepper), Tea. Irrigation needs: Moderate. Yield: 13932 kg/ha"
What crops are suitable for South Goa with Sandy soil (pH 6.0-7.0)?,"Suitable crops: Watermelon, Pineapple. Irrigation needs: Low. Yield: 10260 kg/ha"
What crops are suitable for Hilly Goa with Red Loamy soil (pH 7.5-8.5)?,"Suitable crops: Spices (Pepper), Tea. Irrigation needs: Moderate. Yield: 9266 kg/ha"
What crops are suitable for South Goa with Alluvial soil (pH 7.5-8.5)?,"Suitable crops: Rice, Vegetables, Pulses. Irrigation needs: Moderate. Yield: 10881 kg/ha"
What crops are suitable for Coastal Goa with Clayey soil (pH 7.5-8.5)?,"Suitable crops: Banana, Vegetables. Irrigation needs: Moderate. Yield: 7381 kg/ha"
What crops are suitable for North Goa with Lateritic soil (pH 5.5-6.5)?,"Suitable crops: Coconut, Cashew, Mango. Irrigation needs: Moderate. Yield: 9471 kg/ha"
What crops are suitable for Hilly Goa with Red Loamy soil (pH 7.5-8.5)?,"Suitable crops: Spices (Pepper), Tea. Irrigation needs: Moderate. Yield: 10261 kg/ha"
What crops are suitable for South Goa with Sandy soil (pH 6.0-7.0)?,"Suitable crops: Watermelon, Pineapple. Irrigation needs: Low. Yield: 6344 kg/ha"
What crops are suitable for South Goa with Alluvial soil (pH 7.5-8.5)?,"Suitable crops: Rice, Vegetables, Pulses. Irrigation needs: Moderate. Yield: 6010 kg/ha"
What crops are suitable for Coastal Goa with Saline soil (pH 7.5-8.5)?,"Suitable crops: Rice, Coconut, Fish Farming. Irrigation needs: Low. Yield: 13473 kg/ha"
What crops are suitable for Coastal Goa with Saline soil (pH 7.5-8.5)?,"Suitable crops: Rice, Coconut, Fish Farming. Irrigation needs: Low. Yield: 13640 kg/ha"
What crops are suitable for Coastal Goa with Saline soil (pH 7.5-8.5)?,"Suitable crops: Rice, Coconut, Fish Farming. Irrigation needs: Low. Yield: 9782 kg/ha"
What crops are suitable for Coastal Goa with Saline soil (pH 7.5-8.5)?,"Suitable crops: Rice, Coconut, Fish Farming. Irrigation needs: Low. Yield: 7648 kg/ha"
What crops are suitable for South Goa with Alluvial soil (pH 7.5-8.5)?,"Suitable crops: Rice, Vegetables, Pulses. Irrigation needs: Moderate. Yield: 6325 kg/ha"
What crops are suitable for Hilly Goa with Red Loamy soil (pH 7.5-8.5)?,"Suitable crops: Spices (Pepper), Tea. Irrigation needs: Moderate. Yield: 11551 kg/ha"
What crops are suitable for Hilly Goa with Red Loamy soil (pH 7.5-8.5)?,"Suitable crops: Spices (Pepper), Tea. Irrigation needs: Moderate. Yield: 14611 kg/ha"
What crops are suitable for North Goa with Red Loamy soil (pH 7.5-8.5)?,"Suitable crops: Spices (Pepper), Tea. Irrigation needs: Moderate. Yield: 7924 kg/ha"
What crops are suitable for Hilly Goa with Red Loamy soil (pH 7.5-8.5)?,"Suitable crops: Spices (Pepper), Tea. Irrigation needs: Moderate. Yield: 7381 kg/ha"
What crops are suitable for Coastal Goa with Clayey soil (pH 7.5-8.5)?,"Suitable crops: Banana, Vegetables. Irrigation needs: Moderate. Yield: 8410 kg/ha"
What crops are suitable for Coastal Goa with Saline soil (pH 7.5-8.5)?,"Suitable crops: Rice, Coconut, Fish Farming. Irrigation needs: Low. Yield: 10222 kg/ha"
What crops are suitable for Hilly Goa with Lateritic soil (pH 5.5-6.5)?,"Suitable crops: Coconut, Cashew, Mango. Irrigation needs: Moderate. Yield: 9379 kg/ha"
What crops are suitable for Hilly Goa with Lateritic soil (pH 5.5-6.5)?,"Suitable crops: Coconut, Cashew, Mango. Irrigation needs: Moderate. Yield: 12297 kg/ha"
What crops are suitable for North Goa with Lateritic soil (pH 5.5-6.5)?,"Suitable crops: Coconut, Cashew, Mango. Irrigation needs: Moderate. Yield: 9819 kg/ha"
What crops are suitable for Hilly Goa with Lateritic soil (pH 5.5-6.5)?,"Suitable crops: Coconut, Cashew, Mango. Irrigation needs: Moderate. Yield: 6104 kg/ha"
What crops are suitable for South Goa with Sandy soil (pH 6.0-7.0)?,"Suitable crops: Watermelon, Pineapple. Irrigation needs: Low. Yield: 7096 kg/ha"
What crops are suitable for Hilly Goa with Lateritic soil (pH 5.5-6.5)?,"Suitable crops: Coconut, Cashew, Mango. Irrigation needs: Moderate. Yield: 10341 kg/ha"
What crops are suitable for North Goa with Red Loamy soil (pH 7.5-8.5)?,"Suitable crops: Spices (Pepper), Tea. Irrigation needs: Moderate. Yield: 12565 kg/ha"
What crops are suitable for South Goa with Sandy soil (pH 6.0-7.0)?,"Suitable crops: Watermelon, Pineapple. Irrigation needs: Low. Yield: 12829 kg/ha"
What crops are suitable for North Goa with Lateritic soil (pH 5.5-6.5)?,"Suitable crops: Coconut, Cashew, Mango. Irrigation needs: Moderate. Yield: 12102 kg/ha"
What crops are suitable for North Goa with Red Loamy soil (pH 7.5-8.5)?,"Suitable crops: Spices (Pepper), Tea. Irrigation needs: Moderate. Yield: 11425 kg/ha"
What crops are suitable for Hilly Goa with Red Loamy soil (pH 7.5-8.5)?,"Suitable crops: Spices (Pepper), Tea. Irrigation needs: Moderate. Yield: 9601 kg/ha"
What crops are suitable for South Goa with Sandy soil (pH 6.0-7.0)?,"Suitable crops: Watermelon, Pineapple. Irrigation needs: Low. Yield: 14213 kg/ha"
What crops are suitable for Hilly Goa with Red Loamy soil (pH 7.5-8.5)?,"Suitable crops: Spices (Pepper), Tea. Irrigation needs: Moderate. Yield: 6045 kg/ha"
What crops are suitable for North Goa with Lateritic soil (pH 5.5-6.5)?,"Suitable crops: Coconut, Cashew, Mango. Irrigation needs: Moderate. Yield: 6953 kg/ha"
What crops are suitable for South Goa with Alluvial soil (pH 7.5-8.5)?,"Suitable crops: Rice, Vegetables, Pulses. Irrigation needs: Moderate. Yield: 13746 kg/ha"
What crops are suitable for North Goa with Red Loamy soil (pH 7.5-8.5)?,"Suitable crops: Spices (Pepper), Tea. Irrigation needs: Moderate. Yield: 12119 kg/ha"
What crops are suitable for South Goa with Sandy soil (pH 6.0-7.0)?,"Suitable crops: Watermelon, Pineapple. Irrigation needs: Low. Yield: 8973 kg/ha"
What crops are suitable for Coastal Goa with Clayey soil (pH 7.5-8.5)?,"Suitable crops: Banana, Vegetables. Irrigation needs: Moderate. Yield: 7801 kg/ha"
What crops are suitable for South Goa with Sandy soil (pH 6.0-7.0)?,"Suitable crops: Watermelon, Pineapple. Irrigation needs: Low. Yield: 11400 kg/ha"
What crops are suitable for Hilly Goa with Red Loamy soil (pH 7.5-8.5)?,"Suitable crops: Spices (Pepper), Tea. Irrigation needs: Moderate. Yield: 13371 kg/ha"
What crops are suitable for North Goa with Lateritic soil (pH 5.5-6.5)?,"Suitable crops: Coconut, Cashew, Mango. Irrigation needs: Moderate. Yield: 12516 kg/ha"
What crops are suitable for Coastal Goa with Saline soil (pH 7.5-8.5)?,"Suitable crops: Rice, Coconut, Fish Farming. Irrigation needs: Low. Yield: 8918 kg/ha"
What crops are suitable for North Goa with Red Loamy soil (pH 7.5-8.5)?,"Suitable crops: Spices (Pepper), Tea. Irrigation needs: Moderate. Yield: 11792 kg/ha"
What crops are suitable for North Goa with Lateritic soil (pH 5.5-6.5)?,"Suitable crops: Coconut, Cashew, Mango. Irrigation needs: Moderate. Yield: 7742 kg/ha"
What crops are suitable for Coastal Goa with Saline soil (pH 7.5-8.5)?,"Suitable crops: Rice, Coconut, Fish Farming. Irrigation needs: Low. Yield: 6894 kg/ha"
What crops are suitable for North Goa with Red Loamy soil (pH 7.5-8.5)?,"Suitable crops: Spices (Pepper), Tea. Irrigation needs: Moderate. Yield: 8152 kg/ha"
What crops are suitable for Hilly Goa with Red Loamy soil (pH 7.5-8.5)?,"Suitable crops: Spices (Pepper), Tea. Irrigation needs: Moderate. Yield: 13122 kg/ha"
What crops are suitable for Hilly Goa with Lateritic soil (pH 5.5-6.5)?,"Suitable crops: Coconut, Cashew, Mango. Irrigation needs: Moderate. Yield: 10737 kg/ha"
What crops are suitable for South Goa with Sandy soil (pH 6.0-7.0)?,"Suitable crops: Watermelon, Pineapple. Irrigation needs: Low. Yield: 12912 kg/ha"
What crops are suitable for Hilly Goa with Lateritic soil (pH 5.5-6.5)?,"Suitable crops: Coconut, Cashew, Mango. Irrigation needs: Moderate. Yield: 10566 kg/ha"
What crops are suitable for Hilly Goa with Red Loamy soil (pH 7.5-8.5)?,"Suitable crops: Spices (Pepper), Tea. Irrigation needs: Moderate. Yield: 8892 kg/ha"
What crops are suitable for Hilly Goa with Lateritic soil (pH 5.5-6.5)?,"Suitable crops: Coconut, Cashew, Mango. Irrigation needs: Moderate. Yield: 9838 kg/ha"
What crops are suitable for Hilly Goa with Red Loamy soil (pH 7.5-8.5)?,"Suitable crops: Spices (Pepper), Tea. Irrigation needs: Moderate. Yield: 9670 kg/ha"
What crops are suitable for Hilly Goa with Lateritic soil (pH 5.5-6.5)?,"Suitable crops: Coconut, Cashew, Mango. Irrigation needs: Moderate. Yield: 5348 kg/ha"
What crops are suitable for Coastal Goa with Saline soil (pH 7.5-8.5)?,"Suitable crops: Rice, Coconut, Fish Farming. Irrigation needs: Low. Yield: 11625 kg/ha"
What crops are suitable for South Goa with Alluvial soil (pH 7.5-8.5)?,"Suitable crops: Rice, Vegetables, Pulses. Irrigation needs: Moderate. Yield: 6318 kg/ha"
What crops are suitable for South Goa with Alluvial soil (pH 7.5-8.5)?,"Suitable crops: Rice, Vegetables, Pulses. Irrigation needs: Moderate. Yield: 14742 kg/ha"
What crops are suitable for South Goa with Alluvial soil (pH 7.5-8.5)?,"Suitable crops: Rice, Vegetables, Pulses. Irrigation needs: Moderate. Yield: 7243 kg/ha"
What crops are suitable for South Goa with Sandy soil (pH 6.0-7.0)?,"Suitable crops: Watermelon, Pineapple. Irrigation needs: Low. Yield: 14996 kg/ha"
